SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
O=C/C=C/NC[C@H](O)CC=O,0.0,66.4,4,0.0,2
C[C@](COC(=O)CCCC(=O)O)([C@@H](N/C=C/C=O)C(=O)O)[S@](=O)O,0.0,167.29999999999998,7,-2.691369196341088,4
C[C@](COC(=O)Cc1ccc(O)c(O)c1)([C@@H](Nc1c(C=O)cc2ccccn12)C(=O)O)[S@@](=O)O,12.13273413692322,174.86999999999998,9,-2.7842268854281844,5
CCn1ccn(C(=O)N[C@@H](C(=O)NCB(O)O)c2ccc(O)cc2)c(=O)c1=O,12.13273413692322,162.89,9,0.0,5
CCN1CCN(C(=O)N[C@H](CCc2ccc(O)cc2)C(=O)NCB(O)O)C(=O)C1=O,12.13273413692322,159.51,7,0.0,5
CCN1CCN(C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)NCB(O)O)C(=O)C1=O,12.13273413692322,159.51,7,0.0,5
C[C@](COC(=O)Cc1ccccc1)([C@@H](Nc1c(C=O)cc2ccccn12)C(=O)O)[S@](=O)O,36.39820241076966,134.41,7,-2.704411900562695,3
C[C@](COC(=O)NCCN)([C@@H](Nc1c(C=O)cc2ccccn12)C(=O)O)[S@](=O)O,6.06636706846161,172.45999999999995,8,-2.7161344254780104,5
O=CC1=CNC(C(=O)O)=CS[C@H]1c1cc2n(n1)CSC2,0.0,84.22000000000001,7,3.0627079895446596,2
CC(=O)OC/C1=C(C(=O)O)/N=C\[C@@H](C=O)[C@H](C(=O)OC(C)(C)C)S(=O)(=O)C1,0.0,153.47,9,0.0,1
C[C@](COC(=O)CCCCC(=O)O)([C@@H](NCCC=O)C(=O)O)[S@](=O)O,0.0,167.29999999999998,7,-2.641547579499269,4
N[C@@H](CNC=O)C(=O)O,0.0,92.42,3,0.0,3
CC(C)([C@@H](NCC(CO)CO)C(=O)O)[S](=O)=O,0.0,123.93,6,0.0,4
CC(=O)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O,12.13273413692322,106.86000000000001,4,0.0,4
O=C(Cc1ccccc1)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O,42.46456947923127,106.86000000000001,4,0.0,4
CC(=O)N[C@@H](Cc1cccc(C(=O)O)c1O)B(O)O,12.13273413692322,127.09000000000002,5,0.0,5
Cc1onc(-c2ccccc2Cl)c1C(=O)NCB(O)O,34.95670435274279,95.59,5,6.078827361705999,3
CO/N=C(\C(=O)NCB(O)O)c1csc(N)n1,5.15571272675054,130.06,8,1.1518980169228183,4
